#OTU ID	19GMI00001	19GMI00002	19GMI00003	19GMI00004	19GMI00005	19GMI00006	19GMI00007	19GMI00008	19GMI00009	19GMI00010	19GMI00011	19GMI00012	19GMI00013	19GMI00014	19GMI00015	19GMI00016	19GMI00017	19GMI00018	19GMI00019	19GMI00020	19GMI00021	20GMI000011	20GMI000012	20GMI000013	20GMI000021	20GMI000022	20GMI000023	20GMI000031	20GMI000032	20GMI000033	20GMI0004	20GMI0005	20GMI0006	20GMI0007	20GMI0008	20GMI0009	20GMI0010	20GMI0011	20GMI0012	20GMI0013	20GMI0014	20GMI0015	20GMI0016	20GMI0017	20GMI0018	20GMI0019	20GMI0020	20GMI0021	20GMI0022	20GMI0023	20GMI0024	20GMI0025	20GMI0026	20GMI0027	20GMI0028	20GMI0029	20GMI0030	20GMI00311	20GMI00312	20GMI00313	20GMI00321	20GMI00331	20GMI00332	20GMI00333	20GMI00341	20GMI00342	20GMI00343	20GMI00351	20GMI00352	20GMI00353	20GMI00361	20GMI00362	20GMI00363	20GMI00371	20GMI00372	20GMI00373	20GMI00381	20GMI00382	20GMI00383	20GMI00391	20GMI00392	20GMI00393	20GMI00401	20GMI00402	20GMI00403	20GMI00411	20GMI00412	20GMI00413	20GMI00421	20GMI00422	20GMI00423	20GMI00431	20GMI00432	20GMI00433
Otu483	151	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	2	0	0	0	0	0	0
Otu339	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	19	0	0	0	37	74	17	70	4	46	2	22	5	0	61	0	1	0	15	0	29	6	0	0	0	0	0	0	0	0	0	0	4	10	0	11	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2286	63	11	11	80	12	11	122	15	11	17	16	20	23	29	16	55	12	30	22	22	9	20	18	26	9	15	18	20	23	25	14	11	85	12	4	9	11	13	11	9	8	3	19	6	24	8	8	10	30	62	8	1	0	9	33	1	13	9	4	4	0	6	7	5	5	13	8	10	9	16	4	8	2	2	0	3	3	7	6	12	5	5	1	0	0	4	6	10	45	33	58	27	14	30
Otu131	103	0	2491	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1350	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1286	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu3853	25	5	10	69	6	18	12	16	12	9	7	4	14	12	10	41	5	10	12	17	4	14	11	16	7	12	8	17	22	19	16	5	35	5	1	4	2	3	7	11	4	0	11	2	11	5	9	7	18	39	6	1	1	3	29	0	6	15	6	6	0	4	2	0	4	2	3	2	6	6	2	4	9	0	0	0	3	2	6	5	7	5	1	0	1	5	1	0	33	17	41	14	11	26
Otu5502	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	3	0	3	0	0	1	1	8	2	6	9	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4964	27	8	5	31	4	7	14	9	6	6	6	5	7	10	8	24	5	9	10	19	5	13	17	8	9	10	4	10	13	5	8	1	33	5	5	1	6	6	9	5	3	0	9	2	7	5	3	1	8	26	5	1	0	5	23	0	6	6	2	3	0	0	4	2	10	2	1	1	9	6	3	1	8	0	0	0	2	5	5	6	2	1	0	1	0	3	4	2	17	13	28	10	3	13
Otu1607	55	19	13	104	10	23	35	30	18	24	13	15	32	22	19	64	22	25	21	26	8	19	25	31	20	21	17	32	29	43	16	5	97	8	7	3	5	13	20	16	6	3	21	6	24	3	5	7	19	63	15	2	1	4	50	0	6	9	8	4	0	11	9	8	12	8	13	16	12	12	5	2	7	1	9	4	19	6	9	11	11	10	0	0	0	5	7	15	77	45	64	13	16	44
Otu4368	23	6	10	52	4	13	12	10	8	6	7	4	24	6	7	21	4	15	16	10	4	9	12	13	5	9	6	12	16	7	13	7	30	5	2	0	6	6	8	10	1	2	7	3	10	8	3	5	14	25	3	0	1	2	19	2	2	3	5	4	0	3	1	2	7	3	5	5	7	7	1	3	2	0	0	0	7	2	3	9	12	6	0	0	0	3	3	4	27	14	23	12	4	18
Otu2965	23	7	4	32	2	4	6	8	1	5	2	5	7	7	4	15	4	4	4	3	2	8	6	8	4	9	8	6	4	10	6	0	20	4	0	1	3	1	8	4	2	1	7	2	10	4	0	2	9	14	3	0	0	0	14	0	2	2	2	2	0	1	0	1	0	2	2	1	4	6	1	2	2	0	1	1	1	2	3	1	4	0	1	0	0	3	2	0	10	10	10	2	3	8
Otu111	58	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	23	237	0	1	0	16	543	173	329	406	552	71	270	332	0	1397	0	47	246	205	0	132	0	0	0	0	0	0	0	0	0	0	0	30	45	55	180	163	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1464	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu984	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu575	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	10	4	8	6	46	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4789	45	13	10	58	10	6	14	17	10	9	3	7	18	20	10	45	19	16	12	22	5	23	22	23	6	15	13	20	17	23	10	8	53	13	3	5	7	4	8	13	9	0	10	4	10	5	6	5	21	38	7	1	2	7	48	1	2	4	2	3	0	2	2	2	8	6	4	10	13	8	2	4	3	1	0	0	2	5	5	10	9	1	0	2	0	7	5	2	42	15	39	8	7	20
Otu5321	42	6	5	57	4	11	22	15	11	15	8	9	17	14	8	35	18	19	12	24	4	18	16	14	11	7	6	10	18	11	13	2	49	10	1	6	9	6	12	9	7	1	10	3	10	3	8	7	13	45	7	5	0	3	36	0	4	6	2	3	0	1	4	2	7	2	7	13	9	8	2	3	3	1	1	1	9	7	4	5	10	2	0	1	0	3	0	5	40	17	32	11	13	36
Otu1599	38	10	10	52	5	6	11	14	7	65	66	103	17	16	15	33	11	11	15	12	8	15	8	14	12	11	8	18	19	18	6	3	44	8	2	5	6	4	10	10	7	0	5	3	14	4	1	3	22	32	9	2	0	4	23	0	0	3	3	3	0	1	7	3	6	3	3	7	5	8	1	0	2	1	1	0	3	4	3	9	1	1	0	2	1	2	3	2	40	20	29	9	6	17
Otu1068	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
